[2019-07-24T13:14:57.922-0300][8.505s][info][gc,stringtable] GC(9) Cleaned string and symbol table, strings: 4968 processed, 5 removed, symbols: 31706 processed, 1 removed
[2019-07-24T13:14:57.923-0300][8.506s][info][gc            ] GC(9) Pause Remark 436M->399M(512M) 2.436ms
[2019-07-24T13:14:57.923-0300][8.506s][info][gc,cpu        ] GC(9) User=0.01s Sys=0.00s Real=0.00s
[2019-07-24T13:14:57.923-0300][8.506s][info][gc,marking    ] GC(9) Concurrent Rebuild Remembered Sets
[2019-07-24T13:14:58.835-0300][9.418s][info][gc,start      ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:58.835-0300][9.418s][info][gc,task       ] GC(14) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,mmu        ] GC(14) MMU target violated: 201.0ms (200.0ms/201.0ms)
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,phases     ] GC(14)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,phases     ] GC(14)   Evacuate Collection Set: 340.4ms
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,phases     ] GC(14)   Post Evacuate Collection Set: 1.2ms
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,phases     ] GC(14)   Other: 0.3ms
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,heap       ] GC(14) Eden regions: 21->0(21)
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,heap       ] GC(14) Survivor regions: 4->4(4)
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,heap       ] GC(14) Old regions: 281->303
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,heap       ] GC(14) Humongous regions: 98->98
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,metaspace  ] GC(14) Metaspace: 7698K->7698K(1056768K)
[2019-07-24T13:14:59.177-0300][9.760s][info][gc            ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 404M->404M(512M) 341.941ms
[2019-07-24T13:14:59.177-0300][9.760s][info][gc,cpu        ] GC(14) User=1.01s Sys=0.01s Real=0.34s
[2019-07-24T13:14:59.570-0300][10.153s][info][gc,start      ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:59.570-0300][10.153s][info][gc,task       ] GC(15) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:59.903-0300][10.487s][info][gc,mmu        ] GC(15) MMU target violated: 201.0ms (200.0ms/201.0ms)
[2019-07-24T13:14:59.904-0300][10.487s][info][gc,phases     ] GC(15)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:59.904-0300][10.487s][info][gc,phases     ] GC(15)   Evacuate Collection Set: 332.2ms
[2019-07-24T13:14:59.904-0300][10.487s][info][gc,phases     ] GC(15)   Post Evacuate Collection Set: 0.8ms
[2019-07-24T13:14:59.904-0300][10.487s][info][gc,phases     ] GC(15)   Other: 0.3ms
[2019-07-24T13:14:59.904-0300][10.487s][info][gc,heap       ] GC(15) Eden regions: 21->0(21)
[2019-07-24T13:14:59.904-0300][10.487s][info][gc,heap       ] GC(15) Survivor regions: 4->4(4)
[2019-07-24T13:14:59.904-0300][10.487s][info][gc,heap       ] GC(15) Old regions: 303->325
[2019-07-24T13:14:59.904-0300][10.487s][info][gc,heap       ] GC(15) Humongous regions: 98->98
[2019-07-24T13:14:59.904-0300][10.487s][info][gc,metaspace  ] GC(15) Metaspace: 7698K->7698K(1056768K)
[2019-07-24T13:14:59.904-0300][10.487s][info][gc            ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 425M->426M(512M) 333.392ms
[2019-07-24T13:14:59.904-0300][10.487s][info][gc,cpu        ] GC(15) User=1.21s Sys=0.00s Real=0.33s
[2019-07-24T13:15:00.390-0300][10.973s][info][gc,start      ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:15:00.390-0300][10.973s][info][gc,task       ] GC(16) Using 4 workers of 4 for evacuation
[2019-07-24T13:15:00.824-0300][11.407s][info][gc,mmu        ] GC(16) MMU target violated: 201.0ms (200.0ms/201.0ms)
[2019-07-24T13:15:00.824-0300][11.407s][info][gc,phases     ] GC(16)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:15:00.824-0300][11.407s][info][gc,phases     ] GC(16)   Evacuate Collection Set: 432.8ms
[2019-07-24T13:15:00.824-0300][11.407s][info][gc,phases     ] GC(16)   Post Evacuate Collection Set: 1.0ms
[2019-07-24T13:15:00.824-0300][11.407s][info][gc,phases     ] GC(16)   Other: 0.2ms
[2019-07-24T13:15:00.824-0300][11.407s][info][gc,heap       ] GC(16) Eden regions: 21->0(21)
[2019-07-24T13:15:00.824-0300][11.407s][info][gc,heap       ] GC(16) Survivor regions: 4->4(4)
